ID			Imag	Vmag	Period		Iamp	[Fe/H]		R21	R31	Phi21	Phi31	
OGLE-BLG-RRLYR-00418   16.00400   17.61900    0.56431    0.36600   -0.54518    0.44513    0.23849    4.73600    6.50859
OGLE-BLG-RRLYR-00421   17.58300   19.65900    0.48074    0.77600   -0.98669    0.50490    0.37256    4.16500    5.47559
OGLE-BLG-RRLYR-00422   16.24500   17.75700    0.60634    0.37300   -0.94893    0.41388    0.26339    4.63000    6.26859
OGLE-BLG-RRLYR-00423   15.56800   17.06100    0.62139    0.37600   -0.87937    0.45070    0.27226    4.78400    6.44259
OGLE-BLG-RRLYR-00424   16.93300   18.24900    0.70375    0.75300   -1.69095    0.49993    0.33612    4.53100    5.94759
OGLE-BLG-RRLYR-00427   15.57600   17.20900    0.66196    0.67900   -1.64018    0.51550    0.33767    4.35000    5.76059
OGLE-BLG-RRLYR-00428   16.71600   18.68300    0.50893    0.87600   -1.14711    0.52918    0.36675    4.12700    5.44859
OGLE-BLG-RRLYR-00429   16.61900   18.29200    0.46729    0.47400   -0.53349    0.46170    0.23498    4.42800    5.94559
OGLE-BLG-RRLYR-00430   17.02800   18.84700    0.55884    0.56500   -0.89822    0.52156    0.33582    4.47900    6.04759
OGLE-BLG-RRLYR-00431   15.97400   17.61800    0.60824    0.76100   -1.52023    0.51545    0.33504    4.23700    5.58659
OGLE-BLG-RRLYR-00438   16.14700   17.40000    0.50535    0.50000   -0.86674    0.44086    0.26661    4.29600    5.76759
OGLE-BLG-RRLYR-00439   17.04300   18.74600    0.46365    0.56400   -0.35825    0.53566    0.32628    4.56100    6.13659
OGLE-BLG-RRLYR-00443   16.37000   17.90500    0.52476    0.32700   -1.45214    0.31962    0.13475    4.37800    5.17259
OGLE-BLG-RRLYR-00444   16.71600   18.53200    0.50218    0.75900   -0.98552    0.51003    0.35869    4.22500    5.60459
OGLE-BLG-RRLYR-00445   16.17400   17.73800    0.55678    0.65500   -1.07269    0.52892    0.34318    4.35400    5.82359
OGLE-BLG-RRLYR-00446   16.81700   18.53100    0.50917    0.54800   -0.98433    0.49872    0.26939    4.34000    5.64759
OGLE-BLG-RRLYR-00448   16.96900   18.24900    0.57122    0.75000   -1.21845    0.54745    0.35040    4.33500    5.73259
OGLE-BLG-RRLYR-00451   16.64800   18.52700    0.53805    0.55800   -0.83257    0.53594    0.34245    4.47400    6.00359
OGLE-BLG-RRLYR-00453   16.75000   18.41300    0.43695    0.90800   -1.01263    0.48249    0.37337    4.06300    5.18359
OGLE-BLG-RRLYR-00454   17.02500   19.18700    0.68145    0.20500   -0.72469    0.30826    0.10150    4.96700    6.98759
OGLE-BLG-RRLYR-00460   16.58900   18.47200    0.51357    0.66700   -1.01496    0.50730    0.34608    4.24400    5.63659
OGLE-BLG-RRLYR-00463   16.86800   18.21000    0.47844    0.83600   -1.01084    0.49779    0.34775    4.14600    5.43259
OGLE-BLG-RRLYR-00464   16.76200   18.57100    0.51043    0.54800   -1.10012    0.42624    0.24272    4.32000    5.51459
OGLE-BLG-RRLYR-00466   15.94000   17.33100    0.66707    0.36700   -1.15273    0.43566    0.26103    4.77400    6.38259
OGLE-BLG-RRLYR-00467   16.19300   17.64400    0.46126    0.85300   -1.07412    0.50187    0.39432    4.07800    5.25359
OGLE-BLG-RRLYR-00468   16.39100   18.33600    0.46332    0.58800   -1.38502    0.36935    0.15848    4.06500    4.88859
OGLE-BLG-RRLYR-00479   16.77200   18.51100    0.47320    0.78400   -1.04201    0.49185    0.37830    4.10500    5.36359
OGLE-BLG-RRLYR-00483   15.79900   17.42400    0.55860    0.53900   -0.95554    0.52155    0.33793    4.48400    5.97659
OGLE-BLG-RRLYR-00485   18.58100   20.10300    0.38306    0.88300   -0.82016    0.52462    0.40420    4.31900    5.09659
OGLE-BLG-RRLYR-00486   15.66600   18.16400    0.50419    0.14400   -0.93109    0.56121    0.33504    4.33300    5.68259
OGLE-BLG-RRLYR-00487   16.00400   17.55100    0.57736    0.40200   -0.83162    0.45382    0.32179    4.58500    6.23859
OGLE-BLG-RRLYR-00488   17.47400   19.49000    0.62565    0.14900   -0.40419    0.24688    0.08233    4.83100    7.04459
OGLE-BLG-RRLYR-00492   17.00000   18.81500    0.58283    0.46700   -0.87245    0.47687    0.29700    4.56200    6.22159
OGLE-BLG-RRLYR-00497   16.13300   17.62700    0.57280    0.49800   -1.74861    0.30497    0.08435    4.34900    5.09859
OGLE-BLG-RRLYR-00498   15.29300   17.12600    0.47933    0.32900   -1.21462    0.53868    0.40941    4.03900    5.19059
OGLE-BLG-RRLYR-00500   15.70900   17.16400    0.66876    0.66400   -1.54171    0.54259    0.33907    4.49400    5.92059
OGLE-BLG-RRLYR-00501   16.62900   18.26900    0.50442    0.72300   -1.06489    0.51418    0.38182    4.18700    5.52159
OGLE-BLG-RRLYR-00504   15.82200   17.45700    0.73757    0.49400   -1.75867    0.49375    0.32416    4.53100    6.06659
